domain,user_input,bot_response
Government,How do I apply for a passport?,You can check your voter registration status on the Election Commission website or at your local election office.
Legal,What are my rights as a consumer?,"As a consumer, you have rights under the Consumer Protection Act, but please verify your case specifics."
Government,I want to file a grievance about public services.,"To update your address, submit the required documents with an application at your local RTO."
Medical,What should I do if I experience chest pain?,"Consider relaxation techniques; if anxiety persists, consult a mental health professional."
Legal,How do I file a complaint against a contractor?,"As a consumer, you have rights under the Consumer Protection Act, but please verify your case specifics."
Medical,My stomach hurts after eating.,"Consider relaxation techniques; if anxiety persists, consult a mental health professional."
Medical,I'm feeling extremely tired.,Chest pain can be serious. Please seek emergency care immediately.
Legal,I need help with a rental agreement dispute.,"I can provide general legal information, but consult a qualified attorney for personalized advice."
Government,How do I apply for a passport?,"To apply for a passport, fill out the online application and schedule an appointment at your local office."
Government,How do I apply for a passport?,"For an income certificate, you'll need proof of income, address proof, and a completed application form."
Legal,What are my rights as a consumer?,"To file a complaint, gather your documents and contact your local consumer court."
Legal,Can you explain the terms of my lease?,"I can provide general legal information, but consult a qualified attorney for personalized advice."
Medical,I have a headache and fever.,"It sounds like a mild infection; please rest, stay hydrated, and monitor your symptoms."
Government,How do I update my address on my driving license?,"To update your address, submit the required documents with an application at your local RTO."
Legal,What legal action can I take for breach of contract?,There might be grounds for legal action. Please review the contract and seek professional advice.
Legal,What legal action can I take for breach of contract?,"To file a complaint, gather your documents and contact your local consumer court."
Legal,What legal action can I take for breach of contract?,"Based on your situation, please review your rental agreement and consult a lawyer. This is not legal advice."
Government,What documents do I need for an income certificate?,"To apply for a passport, fill out the online application and schedule an appointment at your local office."
Legal,Can you explain the terms of my lease?,There might be grounds for legal action. Please review the contract and seek professional advice.
Legal,What legal action can I take for breach of contract?,"To file a complaint, gather your documents and contact your local consumer court."
Medical,I'm feeling extremely tired.,Chest pain can be serious. Please seek emergency care immediately.
Legal,What are my rights as a consumer?,"Based on your situation, please review your rental agreement and consult a lawyer. This is not legal advice."
Legal,How do I file a complaint against a contractor?,There might be grounds for legal action. Please review the contract and seek professional advice.
Legal,I need help with a rental agreement dispute.,There might be grounds for legal action. Please review the contract and seek professional advice.
Government,Where can I check my voter registration status?,You can check your voter registration status on the Election Commission website or at your local election office.
Medical,My stomach hurts after eating.,Fatigue can be caused by many factors. Please consult a physician if it worsens.
Medical,I feel anxious and stressed.,Fatigue can be caused by many factors. Please consult a physician if it worsens.
Government,What documents do I need for an income certificate?,You can check your voter registration status on the Election Commission website or at your local election office.
Medical,I have a headache and fever.,Fatigue can be caused by many factors. Please consult a physician if it worsens.
Medical,I feel anxious and stressed.,Fatigue can be caused by many factors. Please consult a physician if it worsens.
Legal,How do I file a complaint against a contractor?,"To file a complaint, gather your documents and contact your local consumer court."
Medical,I have a headache and fever.,"Consider relaxation techniques; if anxiety persists, consult a mental health professional."
Medical,I'm feeling extremely tired.,Chest pain can be serious. Please seek emergency care immediately.
Legal,What are my rights as a consumer?,"Based on your situation, please review your rental agreement and consult a lawyer. This is not legal advice."
Medical,I have a headache and fever.,Fatigue can be caused by many factors. Please consult a physician if it worsens.
Medical,I'm feeling extremely tired.,"It sounds like a mild infection; please rest, stay hydrated, and monitor your symptoms."
Legal,What legal action can I take for breach of contract?,"As a consumer, you have rights under the Consumer Protection Act, but please verify your case specifics."
Medical,I feel anxious and stressed.,Chest pain can be serious. Please seek emergency care immediately.
Medical,I have a headache and fever.,Chest pain can be serious. Please seek emergency care immediately.
Government,I want to file a grievance about public services.,Please provide detailed information about your grievance so that we can guide you through the filing process.
Medical,I feel anxious and stressed.,"It sounds like a mild infection; please rest, stay hydrated, and monitor your symptoms."
Legal,How do I file a complaint against a contractor?,"Based on your situation, please review your rental agreement and consult a lawyer. This is not legal advice."
Government,I want to file a grievance about public services.,Please provide detailed information about your grievance so that we can guide you through the filing process.
Medical,I feel anxious and stressed.,"It sounds like a mild infection; please rest, stay hydrated, and monitor your symptoms."
Legal,Can you explain the terms of my lease?,"To file a complaint, gather your documents and contact your local consumer court."
Medical,I have a headache and fever.,"Consider relaxation techniques; if anxiety persists, consult a mental health professional."
Government,What documents do I need for an income certificate?,"To apply for a passport, fill out the online application and schedule an appointment at your local office."
Legal,How do I file a complaint against a contractor?,"I can provide general legal information, but consult a qualified attorney for personalized advice."
Legal,What legal action can I take for breach of contract?,"To file a complaint, gather your documents and contact your local consumer court."
